Date,Close,Open,High,Low
2022-02-18,44.7,45.45,46.05,44.7
2022-02-17,46.0,45.7,46.0,44.7
2022-02-16,45.15,46.1,46.1,44.7
2022-02-15,46.2,44.85,46.3,44.4
2022-02-14,44.75,47.2,47.6,44.75
2022-02-11,47.9,48.2,48.5,47.8
2022-02-10,48.4,48.6,48.9,48.0
2022-02-09,48.4,47.3,48.9,47.0
2022-02-08,47.35,47.4,48.4,46.5
2022-02-07,47.4,48.4,48.6,47.2
2022-01-28,47.95,47.6,49.0,47.3
2022-01-27,47.6,48.0,48.5,47.4
2022-01-26,48.1,49.5,49.95,48.1
2022-01-25,49.0,46.3,49.0,45.9
2022-01-24,46.9,46.9,48.5,46.85
2022-01-21,47.35,47.05,48.8,46.5
2022-01-20,46.7,43.1,46.7,42.25
2022-01-19,43.65,45.05,45.8,43.55
2022-01-18,44.9,43.4,45.45,43.4
2022-01-17,43.65,44.0,47.0,43.6
2022-01-14,44.25,43.3,45.1,43.3
2022-01-13,44.0,42.5,45.1,42.5
2022-01-12,42.15,39.4,42.15,39.4
2022-01-11,39.4,38.8,39.9,38.3
2022-01-10,38.85,39.2,40.3,38.8
2022-01-07,39.2,38.65,39.45,37.65
2022-01-06,38.0,36.5,38.8,36.25
2022-01-05,37.05,37.9,37.9,36.9
2022-01-04,37.4,37.6,38.0,37.25
2021-12-31,37.1,35.6,37.7,35.5
2021-12-30,35.4,35.4,35.7,35.2
2021-12-29,35.2,35.55,35.55,35.1
2021-12-28,35.2,35.5,35.5,34.9
2021-12-27,35.3,35.2,35.5,35.0
2021-12-24,35.0,34.5,35.4,34.5
2021-12-23,34.5,34.8,34.9,33.7
2021-12-22,43.3,44.0,44.25,42.95
2021-12-21,43.8,44.5,44.65,43.8
2021-12-20,44.6,44.8,44.95,44.5
2021-12-17,44.9,44.9,45.5,44.1
2021-12-16,44.9,45.0,45.0,44.0
2021-12-15,44.9,45.2,45.5,44.75
2021-12-14,45.3,45.7,45.7,45.2
2021-12-13,45.5,45.5,45.8,45.1
2021-12-10,44.6,44.3,45.2,44.3
2021-12-09,44.0,43.95,44.15,43.55
2021-12-08,44.0,43.7,44.3,43.45
2021-12-07,43.6,42.05,43.75,42.05
2021-12-06,41.95,43.0,43.0,41.65
2021-12-03,42.0,44.5,44.5,42.0
2021-12-02,44.2,44.25,45.4,44.0
2021-12-01,44.3,44.4,44.7,43.7
2021-11-30,44.4,44.9,45.65,43.6
2021-11-29,44.5,44.5,45.0,44.1
2021-11-26,45.45,46.1,46.2,44.0
2021-11-25,45.35,46.4,46.4,45.3
2021-11-24,46.05,44.95,46.1,44.6
2021-11-23,44.7,45.5,45.5,44.2
2021-11-22,45.55,44.4,46.2,44.0
2021-11-19,44.4,44.55,46.05,42.0
