Date,Close,Open,High,Low
2022-02-18,27.0,26.75,27.0,26.5
2022-02-17,27.0,26.8,27.1,26.5
2022-02-16,26.85,26.95,26.95,26.4
2022-02-15,26.7,26.4,26.8,26.1
2022-02-14,26.2,27.2,27.85,26.2
2022-02-11,27.55,27.5,27.9,27.3
2022-02-10,27.55,27.75,27.8,27.3
2022-02-09,27.75,28.0,28.05,27.6
2022-02-08,27.85,27.35,28.1,27.25
2022-02-07,27.35,27.5,27.5,27.15
2022-01-28,27.15,27.0,27.45,27.0
2022-01-27,27.25,27.5,27.5,26.7
2022-01-26,27.5,27.1,27.65,27.05
2022-01-25,27.0,25.9,27.0,25.8
2022-01-24,25.9,26.75,26.85,25.6
2022-01-21,26.75,26.5,26.95,26.2
2022-01-20,26.35,26.0,26.5,25.55
2022-01-19,26.0,25.5,26.0,25.5
2022-01-18,25.35,25.8,26.1,25.35
2022-01-17,25.9,27.0,27.4,25.6
2022-01-14,26.8,27.4,28.05,26.8
2022-01-13,28.0,28.2,28.7,27.6
2022-01-12,28.0,26.3,28.0,26.3
2022-01-11,26.6,26.5,27.0,26.1
2022-01-10,26.35,27.1,27.5,26.35
2022-01-07,27.1,27.4,27.7,27.1
2022-01-06,27.65,27.2,27.85,27.2
2022-01-05,27.7,28.4,28.5,27.7
2022-01-04,28.4,29.0,29.05,28.4
2021-12-31,29.0,28.9,29.0,28.5
2021-12-30,28.5,27.85,28.5,27.65
2021-12-29,27.85,27.8,27.95,27.45
2021-12-28,27.5,27.55,27.65,27.0
2021-12-27,27.3,27.1,27.5,26.5
2021-12-24,27.1,26.3,27.1,26.0
2021-12-23,26.35,26.7,26.85,25.15
2021-12-22,26.7,26.95,27.15,26.1
2021-12-21,26.5,26.0,26.5,25.8
2021-12-20,26.2,26.0,26.2,25.75
2021-12-17,26.15,25.9,26.25,25.6
2021-12-16,25.85,25.4,25.95,25.15
2021-12-15,25.2,24.7,25.45,24.6
2021-12-14,24.75,24.5,25.5,24.4
2021-12-13,24.65,25.0,25.05,24.6
2021-12-10,25.0,25.0,25.3,24.9
2021-12-09,24.95,24.9,25.05,24.75
2021-12-08,24.9,24.45,25.5,24.2
2021-12-07,24.45,24.5,24.65,23.95
2021-12-06,24.0,25.0,25.3,23.4
2021-12-03,25.0,26.35,26.6,25.0
2021-12-02,26.2,27.0,27.0,26.2
2021-12-01,27.0,25.9,27.0,25.55
2021-11-30,26.0,27.6,27.7,26.0
2021-11-29,27.2,27.3,27.6,26.7
2021-11-26,27.75,27.8,28.0,27.3
2021-11-25,27.8,28.0,28.2,27.6
2021-11-24,28.2,26.5,28.2,26.25
2021-11-23,26.45,26.4,26.8,25.7
2021-11-22,26.25,25.0,26.3,24.8
2021-11-19,24.6,24.0,25.2,23.7
