Date,Close,Open,High,Low
2022-02-18,32.65,32.9,33.05,32.55
2022-02-17,33.2,32.65,33.2,32.6
2022-02-16,32.65,32.95,33.05,32.25
2022-02-15,32.7,32.15,32.9,31.95
2022-02-14,32.0,33.5,33.8,32.0
2022-02-11,33.95,33.75,34.15,33.7
2022-02-10,33.75,33.2,34.2,33.05
2022-02-09,33.3,33.8,34.15,33.3
2022-02-08,33.8,33.6,34.15,33.3
2022-02-07,33.8,34.3,34.5,33.55
2022-01-28,33.7,33.3,34.2,33.2
2022-01-27,33.0,33.0,33.35,32.55
2022-01-26,33.3,32.95,33.9,32.8
2022-01-25,32.6,32.0,32.7,31.9
2022-01-24,32.1,31.85,33.0,31.65
2022-01-21,31.8,30.2,32.3,30.1
2022-01-20,30.2,29.7,30.5,29.25
2022-01-19,29.6,30.2,30.8,29.6
2022-01-18,29.9,29.7,30.35,29.5
2022-01-17,29.5,29.7,30.75,29.5
2022-01-14,29.65,29.5,30.15,29.25
2022-01-13,29.7,29.7,30.85,29.55
2022-01-12,29.2,28.2,29.2,28.05
2022-01-11,27.9,28.25,28.5,27.9
2022-01-10,28.1,28.55,28.75,28.1
2022-01-07,28.6,28.35,28.85,28.3
2022-01-06,28.35,28.5,28.6,28.15
2022-01-05,28.7,29.1,29.15,28.65
2022-01-04,29.1,29.2,29.4,29.05
2021-12-31,28.9,28.7,29.35,28.5
2021-12-30,28.45,28.6,28.75,28.3
2021-12-29,28.3,28.45,28.85,28.25
2021-12-28,28.3,28.35,28.4,28.05
2021-12-27,28.15,28.3,28.4,27.9
2021-12-24,28.15,27.25,28.15,27.25
2021-12-23,27.3,27.8,27.85,27.1
2021-12-22,27.65,27.95,28.05,27.55
2021-12-21,27.95,28.1,28.2,27.85
2021-12-20,27.9,28.2,28.25,27.9
2021-12-17,28.2,28.3,28.4,28.1
2021-12-16,28.25,28.8,28.8,28.2
2021-12-15,28.5,28.25,28.65,28.2
2021-12-14,28.25,28.35,28.6,28.2
2021-12-13,28.4,28.35,28.5,28.3
2021-12-10,28.35,28.65,28.7,28.25
2021-12-09,28.55,28.1,28.6,28.1
2021-12-08,28.4,28.2,28.7,28.05
2021-12-07,28.15,27.7,28.2,27.65
2021-12-06,27.5,28.3,28.55,27.0
2021-12-03,28.3,29.3,29.4,28.3
2021-12-02,29.1,29.65,29.7,29.1
2021-12-01,29.5,29.0,29.5,28.8
2021-11-30,29.0,30.15,30.2,28.9
2021-11-29,29.8,29.7,29.95,29.4
2021-11-26,30.3,31.1,31.15,30.15
2021-11-25,30.9,31.3,31.45,30.75
2021-11-24,30.9,28.9,30.9,28.75
2021-11-23,28.9,29.35,29.4,28.85
2021-11-22,29.2,28.45,29.5,28.4
2021-11-19,28.3,28.2,28.95,28.0
