Date,Close,Open,High,Low
2022-02-18,87.2,86.4,87.5,86.4
2022-02-17,87.5,87.0,87.7,86.8
2022-02-16,87.0,87.5,87.9,86.4
2022-02-15,87.0,86.0,88.3,83.8
2022-02-14,86.0,88.1,88.8,86.0
2022-02-11,90.0,91.3,91.6,90.0
2022-02-10,91.3,91.1,93.4,91.0
2022-02-09,90.8,91.2,91.9,90.3
2022-02-08,92.0,92.4,92.4,90.1
2022-02-07,92.4,90.6,92.9,89.5
2022-01-28,89.0,91.0,92.0,89.0
2022-01-27,91.0,93.0,94.5,90.4
2022-01-26,94.5,95.8,95.8,92.6
2022-01-25,95.8,92.5,96.0,89.0
2022-01-24,93.0,89.4,93.5,88.2
2022-01-21,89.2,86.9,90.0,86.1
2022-01-20,87.1,85.2,87.5,83.1
2022-01-19,86.8,87.5,87.5,85.0
2022-01-18,87.6,85.5,87.6,84.0
2022-01-17,86.2,83.0,88.0,82.3
2022-01-14,83.4,81.9,83.4,81.0
2022-01-13,81.9,80.5,84.4,80.2
2022-01-12,80.0,79.4,80.0,78.0
2022-01-11,79.4,80.0,80.0,78.5
2022-01-10,79.5,79.7,79.9,78.5
2022-01-07,79.8,79.6,79.9,78.2
2022-01-06,79.1,78.6,79.9,77.9
2022-01-05,78.0,79.0,80.4,78.0
2022-01-04,79.0,79.0,79.4,78.0
2021-12-31,78.8,79.0,79.2,78.4
2021-12-30,78.4,79.8,79.9,77.7
2021-12-29,79.5,79.5,79.8,79.1
2021-12-28,80.0,80.0,81.0,78.0
2021-12-27,79.8,78.9,80.3,77.9
2021-12-24,78.5,76.8,78.5,76.8
2021-12-23,76.5,77.5,78.9,76.5
2021-12-22,76.9,77.0,77.8,76.6
2021-12-21,98.9,99.0,99.8,98.5
2021-12-20,99.5,98.5,99.5,98.1
2021-12-17,96.5,100.0,100.0,96.5
2021-12-16,99.1,100.8,100.8,98.1
2021-12-15,99.9,99.5,100.7,99.0
2021-12-14,99.3,99.6,100.5,99.1
2021-12-13,99.6,102.0,102.0,99.2
2021-12-10,100.0,101.0,102.8,99.9
2021-12-09,99.2,97.4,99.4,97.3
2021-12-08,98.7,98.0,99.4,98.0
2021-12-07,98.2,96.1,99.4,96.1
2021-12-06,95.4,98.0,100.0,95.4
2021-12-03,98.0,99.2,100.8,97.5
2021-12-02,99.1,100.3,100.8,98.8
2021-12-01,99.0,99.4,101.5,98.3
2021-11-30,98.9,104.0,104.0,98.9
2021-11-29,101.1,103.3,104.9,101.0
2021-11-26,105.0,106.7,108.2,104.0
2021-11-25,107.1,105.0,108.0,104.6
2021-11-24,104.8,99.2,105.6,99.2
2021-11-23,99.1,99.0,99.1,98.2
2021-11-22,98.8,97.3,98.9,97.1
2021-11-19,97.1,97.2,97.9,97.1
